iter	Logloss
0	0.6737195696
1	0.6563477652
2	0.6364496504
3	0.6202475412
4	0.6043041774
5	0.5869803292
6	0.5705081395
7	0.5510703496
8	0.5351110186
9	0.5190888541
10	0.5022998265
11	0.4874999455
12	0.4735227857
13	0.463369642
14	0.4484370095
15	0.436454446
16	0.424383
17	0.41427051
18	0.4031955719
19	0.3931340899
20	0.3811052595
21	0.3697238377
22	0.3606710979
23	0.3483426775
24	0.338237708
25	0.3269201006
26	0.3181455885
27	0.3098870414
28	0.3016860962
29	0.2949719565
30	0.2889737265
31	0.2803667886
32	0.2729015895
33	0.2662315096
34	0.2592142923
35	0.2554896218
36	0.2481790815
37	0.2418784005
38	0.234633473
39	0.228215817
40	0.2221948079
41	0.2158901351
42	0.2107289859
43	0.2045169149
44	0.1997399466
45	0.1939550264
46	0.1895489011
47	0.183606284
48	0.1789433207
49	0.1743149621
50	0.1690673419
51	0.1645268032
52	0.1609911237
53	0.1565548761
54	0.1533507892
55	0.1491187232
56	0.1448520933
57	0.14141516
58	0.1376147406
59	0.1336403166
60	0.1305379186
61	0.127282565
62	0.1249653271
63	0.1223266602
64	0.1187702451
65	0.1164037296
66	0.1136006083
67	0.1101558072
68	0.1082020215
69	0.1057866369
70	0.1038440296
71	0.1013910021
72	0.09927936281
73	0.0965326173
74	0.09471584048
75	0.09264554296
76	0.09108057703
77	0.08882154737
78	0.08696363994
79	0.08481275014
80	0.08275228909
81	0.0808584622
82	0.0790237563
83	0.0777237211
84	0.07633960588
85	0.0747882843
86	0.07350374631
87	0.07216325487
88	0.07079061781
89	0.06938031742
90	0.06805628368
91	0.06676055363
92	0.06581358228
93	0.0646824428
94	0.06379002162
95	0.06280166762
96	0.06165936334
97	0.06043718883
98	0.05957662037
99	0.05868392672
100	0.0577193124
101	0.05666218145
102	0.05563191686
103	0.05474452291
104	0.05381758554
105	0.05284003871
106	0.0519379752
107	0.05055583545
108	0.04957816601
109	0.04854859965
110	0.04776313305
111	0.046862874711112	0.0460879394
113	0.0454392365
114	0.04478132384
115	0.0440363884
116	0.04330592837
117	0.04265249797
118	0.04191063132
119	0.04126101221
120	0.04056452002
121	0.03998101779
122	0.03931246826
123	0.0388104575
124	0.03808185714
125	0.03760254042
126	0.03717581885
127	0.03650943211
128	0.03595393045
129	0.03504137652
130	0.03453467914
131	0.03413040979
132	0.03365890299
133	0.03319636754
134	0.03282055174
135	0.03241820676
136	0.03184064136	137	0.03148696082
138	0.03119422708
139	0.03078076499
140	0.03030307634
141	0.02998476028
142	0.02961240837
143	0.02929519926
144	0.02876354967
145	0.02841312885
146	0.02790575538
147	0.02755433662
148	0.02712856872
149	0.02681776455
150	0.02646073784
151	0.02621988399
152	0.02587451254
153	0.02561948299
154	0.0253312179
155	0.02509976796
156	0.02480759621
157	0.02445090669
158	0.02396949359
159	0.02360514402
160	0.02339228903
161	0.02304037639
162	0.02282499926
163	0.0226407
164	0.02240774291
165	0.02215762138
166	0.02187605926
167	0.02160213675
168	0.02127548456
169	0.02101119246
170	0.02071751526
171	0.02047433683
172	0.02020914214
173	0.02006360463
174	0.01980248179
175	0.01954437154
176	0.0192350047
177	0.0189368827
178	0.01878428119
179	0.01853766612
180	0.01841008323
181	0.01828366348
182	0.01810711622
183	0.01796898161
184	0.01779858044
185	0.01756107807
186	0.01746641908
187	0.01731769698
188	0.01704459872
189	0.01686309406
190	0.01668981484
191	0.01656449522
192	0.01645492486
193	0.01628000396
194	0.01613370691
195	0.01595810141
